Chem1,Chem2,Clnum
9.42020683742384,-4.35068716980781,1
9.70440503993861,-4.46009609251061,1
9.80754299720612,-4.08937866730034,1
9.27714731737536,-4.03486555034207,1
9.64467319253426,-3.5967778477243,1
9.67816902830561,-4.13020493616893,1
8.91424606659944,-4.01188607824767,1
9.13942923393032,-4.45923949186733,1
9.82306013925926,-3.7789735852963,1
9.26227857304855,-4.58244164819458,1
9.60718812646784,-3.81078255637598,1
8.89253764172009,-4.22645517166693,1
9.24964348703815,-4.43848963423501,1
9.46997868478102,-4.17300659131068,1
9.69761891360045,-4.44049070090288,1
8.89915701546719,-4.78728752405236,1
9.53527079665148,-4.50125070649271,1
9.56163040928358,-4.77794720110454,1
9.24875706070717,-3.95485849857603,1
9.57010088041485,-4.17333579450158,1
8.8904223202223,-4.79603905408381,1
8.74976193328995,-4.01357642868605,1
8.62088193172327,-4.03530567754077,1
8.85703119883686,-4.62769271073776,1
9.47893773863562,-4.95007121058884,1
9.25713226897256,-4.81042923126295,1
9.02019848183929,-4.57306131559898,1
8.99658158596273,-4.94468683240371,1
8.57652294846429,-4.46579290006888,1
9.06260810537227,-4.44577059528332,1
8.81856244158365,-4.74361716974554,1
9.34931532370705,-4.90683005208338,1
9.12050343398159,-4.79100329627749,1
8.86382480748201,-4.81830012189578,1
9.41534130359406,-4.30106830654164,1
8.71527479029812,-4.727437961013,1
8.94834767667832,-4.76205813770841,1
8.80989552232299,-4.43659131780716,1
9.00892685496683,-4.45780130331998,1
8.43872246340003,-4.95510968390057,1
9.01013704909314,-5.38929002154493,1
9.15454771494915,-4.64280762069996,1
8.59579355508376,-5.22834916530876,1
8.54130762183817,-5.07043179363153,1
9.02898862771004,-5.24628063171329,1
8.31832673072312,-4.78695577632955,1
8.86780478044972,-4.70842267699638,1
8.33501067861979,-5.03882605861302,1
8.74863455636566,-5.30108960242155,1
8.30738666194879,-5.251439180682,1
8.69070362400947,-5.3826345525181,1
8.80421732055446,-5.41347742114123,1
8.63503766204915,-5.47384095992528,1
8.61486741838751,-5.59493990274601,1
9.04467909985326,-5.06377978719037,1
8.44993838846903,-5.10350721685324,1
8.85231246054668,-4.75678537154144,1
8.84767054741574,-4.99845289262673,1
8.59902737074421,-5.02377796931257,1
8.37429332430503,-5.53681161898694,1
8.67349662038632,-4.86261663535748,1
8.185493109838,-5.31640587364647,1
8.215631234115,-5.50251155818628,1
8.48304074959937,-5.55117721544907,1
8.65819123562497,-5.72147517985071,1
7.98431847777499,-5.80701038497476,1
8.49332870008586,-5.15724836281406,1
8.6716642847162,-5.52538052412025,1
8.45371094739989,-4.96573321032038,1
8.3267564419862,-5.27249508011615,1
8.36202896017806,-5.48936189715921,1
8.47414541452621,-5.56243834664633,1
8.34841720050905,-5.24520447542828,1
7.83199020596838,-5.6566044846248,1
8.12054432168866,-5.82677103584841,1
7.71767917830415,-5.58010437558243,1
7.83884835814855,-6.12350270803552,1
8.24098690045006,-6.04314895661193,1
7.98200277778422,-5.55083589949078,1
7.82746789488414,-5.55278823269542,1
8.39004988549515,-5.30007904609465,1
7.70719623194015,-6.04729552388533,1
7.6664773785063,-5.72230940902561,1
7.74434714813073,-5.30752879021367,1
7.53984137299233,-6.16151944319075,1
7.81527080632734,-6.06747460045741,1
7.62755822970798,-5.44404653227375,1
8.04849117192345,-6.12515197200492,1
8.22429962283043,-5.43499262026331,1
7.73954619143592,-5.69627827484051,1
7.58778323795338,-6.00406415089104,1
7.97120973254835,-5.92420748926281,1
8.05710270809677,-5.86217261152636,1
8.19590054845911,-5.61084603978243,1
7.67674890449599,-5.60946617913459,1
7.65700077369659,-6.12544525281182,1
7.56729545636843,-5.79957303566597,1
8.16976020817333,-6.0887671958097,1
7.91804492212382,-5.68822070997527,1
8.23369643806321,-6.40212932921229,1
7.48745724982427,-5.75910313428051,1
7.52667423949607,-6.02506874199918,1
7.28515590581822,-6.40877236719971,1
7.20451956425838,-6.39382747142665,1
7.38363714997797,-5.69458430343088,1
7.35420665319959,-6.5738625015688,1
7.47999171435523,-6.00012484469428,1
7.34448441514579,-5.94799483370186,1
7.03994488093969,-6.23058977959494,1
7.37688442671889,-6.4512157870456,1
7.55158269187752,-5.84177598307041,1
7.36316928996592,-6.11572502114374,1
7.56960193874201,-6.57842027837164,1
7.8475532972669,-6.089037292679,1
7.87147736160309,-5.94088577322883,1
7.37711054543402,-6.26746988622635,1
7.71344754722799,-6.69980983735371,1
7.40433017948141,-6.61405222042572,1
6.97728977159233,-6.33569895141609,1
7.8103215801846,-6.17745843499226,1
6.89958671051829,-6.4567185801489,1
6.79663775112413,-6.62206844777934,1
7.4078436544919,-6.26478056354953,1
7.58571445645925,-5.96859927252795,1
7.51001334488965,-6.29497881730725,1
7.25607709640045,-6.24872825629313,1
7.0833018287265,-6.06510641620048,1
6.92205100997705,-6.66385611544231,1
6.81959382800055,-6.9064835231903,1
7.30400932542656,-7.01987232595665,1
7.03614009066372,-6.41695355627766,1
7.3313324222091,-6.1513649689519,1
7.48255500563019,-6.47966137243351,1
6.90970325505997,-6.7534520201491,1
7.33048253911195,-6.24410850169843,1
7.16553257481789,-6.67840018552105,1
6.72799152217581,-6.8585123296605,1
6.63186739228367,-7.10773151528136,1
7.27911469535527,-6.2095322214162,1
6.43677507490137,-6.41109522616479,1
6.71157708465347,-6.70205342491688,1
6.49470224065414,-6.3886395505799,1
6.91883061359018,-7.17447822275285,1
6.63102383379932,-6.97816340504449,1
7.00099206383762,-7.08464323572496,1
6.65178519821842,-7.32310593613329,1
6.79970732921566,-6.58386173927675,1
6.84766900893626,-6.43800865079562,1
6.71880235154338,-7.33033822352577,1
6.84147045785234,-6.34905657166562,1
6.7061621486861,-7.08900055095935,1
6.9622836226808,-6.76170680561877,1
6.93337416357124,-7.41471887287529,1
6.28119145374593,-6.56749188923778,1
6.97099321443682,-6.58752189117442,1
6.473582172723,-7.23014876598692,1
6.82099140258212,-7.00900738614883,1
6.34741542701652,-6.64776266838757,1
6.53510364148568,-7.21149774615597,1
6.53834694234061,-6.590806861348,1
6.46302115480076,-6.86753965275445,1
6.77667861821394,-6.66525829621174,1
6.62478635844155,-6.57765124234078,1
6.40822391209214,-7.05745436612229,1
5.9103033202593,-7.13149095769047,1
6.56730618354694,-7.34574425281059,1
6.25883554440128,-7.43434904628755,1
5.78554614342803,-6.84153464739902,1
6.71411176067432,-6.98179206186969,1
6.67318461752126,-7.1969408372398,1
6.59305325918592,-7.46763275667148,1
5.70223377343913,-7.383442212459,1
5.75151154115525,-7.1606604038744,1
5.65918986306574,-6.96431918180153,1
5.95245670369766,-7.24812496354611,1
6.11688196250908,-7.49904437415068,1
5.72391650768397,-7.70365117568712,1
6.17662898832109,-7.14771388733156,1
6.3702702156603,-7.13350524107155,1
6.08078479022231,-7.34846220448714,1
6.0442967371984,-7.46105321315882,1
6.10447924260795,-7.61540639232294,1
5.83249578406524,-7.04002444378404,1
5.69836679328039,-7.09723798176157,1
6.0270752263521,-7.63912502683519,1
5.91289758236348,-7.32728137589263,1
6.16029571042085,-6.94071327241947,1
5.61022321153383,-7.78846305542878,1
6.08348968037018,-7.73401894522797,1
6.26702606648556,-7.49688502311454,1
6.00621347626566,-7.34950780356565,1
5.61018888984654,-7.45823438281626,1
5.36156389239331,-7.71580975989319,1
5.29832149812764,-6.98791164511286,1
5.69603054399838,-7.16035440749391,1
5.35522123383453,-7.28186151460164,1
5.20517948849157,-7.6348338856967,1
5.3832331552804,-7.33051256147839,1
5.32472880829678,-7.50902540684014,1
5.28063601153441,-7.98153797693245,1
5.81336144856235,-8.02516027151326,1
5.69021485214641,-7.91511715943164,1
5.54832386867108,-7.75294978824551,1
5.38198229677072,-7.96843584720951,1
5.56391858040158,-7.73557887201233,1
4.97667770723956,-7.98867724796073,1
5.63090651228312,-7.98085561062254,1
5.72399242948118,-7.50723979108012,1
4.99503704521809,-7.20175753986341,1
5.1857228229772,-7.7857836061669,1
4.98721187149383,-7.44491225002897,1
5.6826933446741,-7.55481543088006,1
5.2068825344713,-7.45406696852098,1
4.80301144314415,-7.17719148105677,1
4.9300840360898,-7.19338283274629,1
5.13231300585962,-8.02813423229592,1
4.78319240922552,-7.84232278356942,1
5.25329517669985,-7.64007279056783,1
4.72671449444273,-7.86317960417597,1
4.80482098874715,-7.30305280831635,1
5.20534573796773,-7.34581332580467,1
5.23852173346048,-7.81147954445699,1
5.26717181572327,-8.04556603837842,1
4.71634601643689,-7.90431638299736,1
4.70317424977044,-7.78274490544274,1
5.03048164569069,-7.93354106112847,1
4.84174259923079,-8.12210951213477,1
4.60141754884999,-8.14649416871751,1
